date,oil_cost,gas_cost,drywell_cost,oil_return,gas_return,drywell_return
1991-06-30T00:00:00Z,346.9,506.6,441.2,0.07799875699192034,0.0748992149374072,0.2005442176870748
1992-06-30T00:00:00Z,362.3,426.1,357.6,0.04439319688671097,-0.1589024871693644,-0.18948322756119668
1993-06-30T00:00:00Z,356.6,521.2,387.7,-0.015732818106541507,0.22318704529453184,0.08417225950782987
1994-06-30T00:00:00Z,409.5,535.1,491.5,0.14834548513740878,0.026669224865694504,0.26773278307970083
1995-06-30T00:00:00Z,415.8,629.7,481.2,0.015384615384615413,0.17678938516165207,-0.02095625635808751
1996-06-30T00:00:00Z,341,616,541,-0.1798941798941799,-0.02175639193266642,0.12427265170407317
1997-06-30T00:00:00Z,445.6,728.6,655.6,0.3067448680351907,0.18279220779220784,0.21182994454713497
1998-06-30T00:00:00Z,566,815.6,973.2,0.2701974865350089,0.11940708207521274,0.4844417327638804
1999-06-30T00:00:00Z,783,798.4,1115.5,0.3833922261484099,-0.021088769004413983,0.14621866009042328
2000-06-30T00:00:00Z,593.4,756.9,1075.4,-0.24214559386973183,-0.05197895791583167,-0.03594800537875384
2001-06-30T00:00:00Z,729.1,896.5,1620.4,0.22868217054263573,0.1844365173734972,0.5067881718430352
2002-06-30T00:00:00Z,882.8,991.9,1673.4,0.21080784528871202,0.10641383156720577,0.03270797333991607
2003-06-30T00:00:00Z,1037.3,1106,2065.1,0.17501132759401905,0.11503175723359212,0.2340743396677422
2004-06-30T00:00:00Z,1441.8,1716.4,1977.3,0.38995469006073463,0.5518987341772152,-0.042516100915209895
2005-06-30T00:00:00Z,1920.4,1497.6,2392.9,0.33194617838812607,-0.12747611279422055,0.21018560663531086
2006-06-30T00:00:00Z,2238.6,1936.2,2664.6,0.1656946469485523,0.29286858974358987,0.11354423502862628
